Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;ABAS; D ;getNmPessoa;25;4;12;1;Método Longo
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.AlterarVencimentoIcms;TRANSACAO; R, D ;process;136;38;16;0;Muitos Desvios
br.gov.se.sefaz.sae.talonario.to.alterar.CorrigirNumeroTalaoDAEManual;TRANSACAO; R ;process;90;13;19;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ConsultarContribuinteDAEManual;TRANSACAO; R ;process;118;40;19;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.ne.ValorCampoLayout;ENTITY; D ;setValoresCamposLayout;24;3;11;1;Muitos Desvios
br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;ABAS; D ;preencheDocCabecalhoSAE;62;15;8;3;Método Longo
br.gov.se.sefaz.sae.ne.EntidadeICMSContribInsc;ENTITY; D ;getEntidadeFormaRecolhimento;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorTalonario;GERENCIADORBASE; R, D ;calcularQuantidadeTalaoDAE;3;1;1;4;Muitos Parâmetros
br.gov.se.sefaz.sae.util.Excecao;EXCEPTION; D ;Excecao;4;1;3;2;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;GERENCIADORBASE; R, D ;gerarDAESAP;110;39;17;8;Muitos Parâmetros
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepasseDASGNRE;TRANSACAO; R ;exibirRepasseDASGNRE;134;27;12;1;Muitos Desvios
br.gov.se.sefaz.sae.talonario.to.baixarDAEManual.ListarDAEsParaBaixa;TRANSACAO; R, D ;obterOcorrenciasNavegacao;19;3;10;6;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.itd.ConsultarContribuinte;TRANSACAO; R, D ;initialize;145;53;12;0;Muitos Desvios
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;BACKGROUNDPROCESS; R ;registrarDadosConcBanc;137;22;18;2;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.AlterarVencimentoIcms;TRANSACAO; R, D ;process;136;38;16;0;Método Longo
br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;TRANSACAO; R, D ;registrarDesemembramentoItemDAE;222;80;15;4;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;GERENCIADORBASE; R, D ;atualizarTpSolicitantePorChassi;4;1;3;4;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirSourceToResultITD;100;16;4;2;Método Longo
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;TRANSACAO; R, D ;gravarArquivoRepasseDAE;382;67;17;5;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeRegimeTributacao;ENTITY; D ;setDtInicioVigencia;4;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.GerarArqRepasseDAE;BACKGROUNDPROCESS; R ;processarArquivo;131;20;22;0;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;alterarDataArrecadacaoDAE;7;1;5;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;GERENCIADORBASE; R, D ;gerarDAEITCMD;90;29;20;8;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;GERENCIADORBASE; R, D ;gerarDAESIT;120;41;19;6;Muitos Parâmetros
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;BACKGROUNDPROCESS; R ;registrarRecolhimentoDocumento;189;55;24;0;Método Longo
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoDia;TRANSACAO; R, D ;setItensDocumento;142;4;6;2;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;exibirCamposGNRE;205;84;17;2;Método Longo
br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;TRANSACAO; R, D ;verificarAlteracaoDesmembramentoGNRE;285;161;17;1;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;gravaConfirmacaoRepasseSQL;28;7;10;7;Muitos Parâmetros
br.gov.se.sefaz.sae.consultas.to.documento.ListarPendenciasDoc;TRANSACAO; R, D ;getOcorrenciasNavegacao;20;3;9;4;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadePercentCalculoReceita;ENTITY; D ;setVlPercentAliquota;4;2;2;1;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.alteracao.viaEletronica.ExcluirDAEManualViaEletronica;TRANSACAO; R, D ;process;195;74;18;0;Método Longo
br.gov.se.sefaz.sae.emissaoDAE.to.itd.ConsultarContribuinte;TRANSACAO; R, D ;initialize;145;53;12;0;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;GERENCIADORBASE; R, D ;gerarNotificacaoCadastroChequeDev;41;3;14;5;Muitos Parâmetros
